arm,dataset,n,weighting,rule,bandwidth,h_over_sd,loo,model_sd_over_data_sd,mass_below,w1
empirical,BackingAndUnderlay,45,Uniform,silverman,0.25516602310359293,0.1787742790781226,-1.0964342853334108,1.034090922592004,0.12960217175671593,0.1756797636372625
empirical,BackingAndUnderlay,45,Uniform,silverman_floored,0.255166023103593,0.17877427907812263,-1.0964342853334108,1.0340909225920054,0.12960217175671598,0.17567976363726256
empirical,BackingAndUnderlay,45,Uniform,cv,0.03949925113386787,0.027673943653211693,-0.6682898227578122,1.0100582748704292,0.03935782358277192,0.11277851776649286
empirical,BackingAndUnderlay,45,Variable,scott,0.7833068643545407,0.5388886812876161,-1.2801799458695424,1.0747809179297922,0.24847804604079224,0.542783575332459
empirical,BackingAndUnderlay,45,Variable,silverman,0.3367588304323621,0.23167870767121992,-1.2593074381512643,1.0373285034323052,0.1561420716128464,0.2525841087561136
empirical,BackingAndUnderlay,45,Variable,silverman_floored,0.3367588304323621,0.23167870767121992,-1.2593074381512643,1.0373285034323052,0.1561420716128464,0.2525841087561136
empirical,BackingAndUnderlay,45,Variable,cv,0.0385072416596377,0.026491682407360263,-0.6701161522008584,1.005463651087145,0.022601760628150006,0.04072955231616385
empirical,BituminousRoofing,66,Uniform,scott,0.4046887702374265,0.45856096025362697,-1.1383414901747855,1.0624213003887957,0.08205139710144267,0.1256921628289678
empirical,BituminousRoofing,66,Uniform,silverman,0.24618839131181952,0.2789610026910579,-1.4758983805298527,1.0282816640978802,0.0338377563419269,0.08944856136092495
empirical,BituminousRoofing,66,Uniform,silverman_floored,0.24618839131181955,0.2789610026910579,-1.4758983805298527,1.0282816640978802,0.03383775634192691,0.08944856136092495
empirical,BituminousRoofing,66,Uniform,cv,0.09296044041049278,0.10533533904394293,-0.8337018076736507,1.005566581760719,0.0019449374010741159,0.0799472839687504
empirical,BituminousRoofing,66,Variable,scott,0.469543343708497,0.508174747901091,-1.187697191331668,1.070792715701765,0.1010404242430611,0.17662493182198874
empirical,BituminousRoofing,66,Variable,silverman,0.2937834597082215,0.31795432216247205,-1.4670612968072765,1.033873292106624,0.04836978513987743,0.09695015703106674
empirical,BituminousRoofing,66,Variable,silverman_floored,0.2937834597082215,0.31795432216247205,-1.4670612968072765,1.033873292106624,0.04836978513987743,0.09695015703106674
empirical,BituminousRoofing,66,Variable,cv,0.10785808560328694,0.11673204656175974,-0.9468383067626326,1.0064728197380493,0.004389180515486645,0.03786050517227896
empirical,BlanketFacing,28,Uniform,scott,0.35945684516717374,0.5443450261573565,-0.7754444365829495,1.0837774312990174,0.04994122079260519,0.2595628525499616
empirical,BlanketFacing,28,Uniform,silverman,0.16683768159602924,0.2526513637824495,-0.8633875691420235,1.0141098890257918,0.0203219200577631,0.212231385757871
empirical,BlanketFacing,28,Uniform,silverman_floored,0.16683768159602924,0.2526513637824495,-0.8633875691420235,1.0141098890257918,0.0203219200577631,0.212231385757871
empirical,BlanketFacing,28,Uniform,cv,0.012018924334770012,0.01820090998225658,-0.5099613510940761,1.000312931918164,2.119798981535039e-30,0.18300926742871126
empirical,BlanketFacing,28,Variable,scott,0.29059717936720103,0.6149631228457934,-0.7171061014443262,1.1031523778196606,0.047009185029452324,0.0868888799509927
empirical,BlanketFacing,28,Variable,silverman,0.19662434958806835,0.4160973768345153,-0.819911823343533,1.0447308731382814,0.02835578317449145,0.06396020266035227
empirical,BlanketFacing,28,Variable,silverman_floored,0.1966243495880684,0.4160973768345154,-0.8199118233435327,1.0447308731382805,0.028355783174491465,0.06396020266035228
empirical,BlanketFacing,28,Variable,cv,0.012563326915159814,0.026586571727582633,-0.5160694774893377,1.0007481362135089,4.4137399329777796e-30,0.008458352511063864
empirical,BlanketInsulation [mineral wool],184,Uniform,scott,0.3995027063584019,0.3735444607288246,-0.7372649781869153,1.0588405059594197,0.07142130227969305,0.24422262520989912
empirical,BlanketInsulation [mineral wool],184,Uniform,silverman,0.12839087987855932,0.12004850336035051,-0.558017154276299,1.0074534363554453,0.0026931307998529397,0.11948182760790652
empirical,BlanketInsulation [mineral wool],184,Uniform,silverman_floored,0.12839087987855927,0.12004850336035047,-0.5580171542762993,1.007453436355446,0.0026931307998529354,0.11948182760790652
empirical,BlanketInsulation [mineral wool],184,Uniform,cv,0.03733500919473553,0.03490911489205707,-0.5273152685610302,1.0008421078949055,8.557715277006642e-08,0.10856367771376621
empirical,BlanketInsulation [mineral wool],184,Variable,scott,0.37148417520236643,0.42705881855963224,-0.6651961582887691,1.070631704460677,0.06805239550134522,0.1339762895652925
empirical,BlanketInsulation [mineral wool],184,Variable,silverman,0.13709737575995368,0.1576073685716958,-0.5568063525681559,1.0125250184264705,0.0039270905152106695,0.034881760319030466
empirical,BlanketInsulation [mineral wool],184,Variable,silverman_floored,0.13709737575995368,0.1576073685716958,-0.5568063525681559,1.0125250184264705,0.0039270905152106695,0.034881760319030466
empirical,BlanketInsulation [mineral wool],184,Variable,cv,0.09703190305131656,0.11154803527529658,-0.5508986551374621,1.0064768625095686,0.0008483365202716211,0.023745613602843996
empirical,BlanketInsulation [other],3,Uniform,scott,0.6424375380436683,0.8509060554658446,-1.758928537479541,1.0656316434430952,0.16848568006855638,0.5974690054540226
