dataset,n,kde_scott_Uniform,h_over_sd_scott_Uniform,mass_below_scott_Uniform,kde_silverman_Uniform,h_over_sd_silverman_Uniform,mass_below_silverman_Uniform,lognormal_Uniform,kde_scott_Variable,h_over_sd_scott_Variable,mass_below_scott_Variable,kde_silverman_Variable,h_over_sd_silverman_Variable,mass_below_silverman_Variable,lognormal_Variable
DemountablePartitions,45,0.10428252949609902,0.49506629809820224,0.0416522106096613,0.09521977406248446,0.42033930970602074,0.034604974980397746,0.10745786362933529,0.10048647944462683,0.5632357591961573,0.05893885119482656,0.08887672030661672,0.478219040826926,0.051049190795168745,0.10051595616197401
DoorsAndFrames,61,0.3427456975396489,0.4658433478841965,0.14050067636217378,0.19345690827096035,0.20324751028862748,0.04551904636507881,0.13066514760896492,0.15887257881362343,0.540575007193758,0.10884888013152016,0.0947868030406874,0.3651008725885871,0.06344538261788114,0.0908415039563227
Electrical,3,0.01218386234700448,0.8509060554658447,0.0,0.011515205568128755,0.6994505913864093,0.0,0.01010799363433923,0.003878637513017395,0.96079090551891,0.0,0.003430083554543807,0.8157658631764331,0.0,0.0020452247414553468
Elevators,20,1.1187520945839255,0.5822370879522424,0.34028099359128927,0.7519538079076475,0.1919479733925763,0.30666289191160523,0.5767649320092227,0.9516889148506655,0.6483119239256515,0.36222612210084876,0.6096810685080176,0.23933401426681766,0.34085404860513074,0.5287418907149984
FenestrationAccessories,17,0.6305351296495791,0.6014729228118749,0.2464528665904984,0.42450477062142444,0.3317746901342598,0.19161893685418416,0.4030928101472567,0.6188532450670831,0.7274568456245172,0.27540233888768784,0.29890757990415967,0.34266424565853676,0.18251979172538305,0.35763516738177414
FenestrationFraming,259,0.1316441382711224,0.34885577155504094,0.10020498361424603,0.08615999050911302,0.17857126051465627,0.049211866146589275,0.111314903893637,0.21600049088384798,0.39616502651309243,0.13273042164772034,0.10189710818252656,0.20647317821131844,0.07187708518069176,0.09822912572090017
FiberCementSiding,29,0.15316166598234754,0.5405380439068004,0.003932893777989337,0.11927969848878102,0.32948205205622944,6.193602750698826e-05,0.09675026292982283,0.08755751238176694,0.6644765869164911,0.00216705042350573,0.07543652984507819,0.5641782341743793,0.000591932911270136,0.07228009391647686
FireAndSmokeProtection,22,0.25981386935437045,0.5712435758877449,0.11140632188244698,0.21439854522050328,0.2901167962675933,0.0507376847312219,0.24972865314855427,0.3603051201140942,0.6499147649324306,0.17804096814377607,0.17675917358643,0.3404610551118403,0.09812408590383274,0.23844262692104126
FlashingAndSheetMetal,12,0.5733066533221627,0.6448662024067982,0.24647706353432078,0.19063045925044336,0.13232042434092678,0.01948885949836658,0.4136129644443014,0.660109419205344,0.6907891119456728,0.2696785425566597,0.10826738557844175,0.1480015729959105,0.04141820185946276,0.4151763266802893
FlatGlassPanes,47,0.4335790808506703,0.4907793642213704,0.16327624369146115,0.2796813892801031,0.2456647606648415,0.08579014138091767,0.17635835484881107,0.1894164891156891,0.5719948864239482,0.13638211708260442,0.14477342426095985,0.4519770827376734,0.10846423065927083,0.12940120037988692
FlowableFill,2008,0.056760804711159525,0.23160776920903933,0.008740209576027934,0.03691938445856589,0.13006251685971265,0.0005585752928732783,0.12325044140752325,0.06118083554809368,0.2669643286887713,0.018940708414206673,0.021804940387860128,0.13752421409088234,0.0010908249622665804,0.1181106148798783
FoamedInPlace [PIR or PUR],8,0.5809149818137502,0.6993391927096341,0.1704355585097956,0.7126836171214894,0.2870896379651221,0.045176853915121724,0.8349100857559916,0.6888483953701938,0.7984864872575294,0.18337183319372838,0.47354914984333185,0.5157331240446155,0.13163481932589582,0.6967626147329891
FoamedInPlace [type not stated],5,0.06990335025584646,0.7682664434983573,2.8458150382912494e-14,0.06302718278062479,0.6523016973099259,8.003483602663641e-19,0.0504964250446171,0.051817064348171946,0.8360358232195536,1.0754246240138551e-16,0.019798328791212846,0.25632640219618286,5.4508450687018696e-151,0.042332608123960315
Furnishings,7,0.12401486886962518,0.7182675682045099,0.0006099275889238226,0.1113282040033945,0.6098498220604329,0.00010609980737514886,0.1274038515006694,0.1298159387574236,0.8264909046916201,0.0018096806662108859,0.11561675285276513,0.7017375605872246,0.00044833748451458914,0.12367535220004687
GlazedDoors,141,0.2786131820503252,0.393968993314756,0.13970280457089151,0.13498733892434184,0.1735268685121739,0.058049059782392456,0.14528279972993843,0.2130458724335875,0.4618100757988012,0.14077294530614387,0.07994470141923268,0.22264377884574438,0.0634392941170227,0.10767094683273762
Grouting,219,1.2279484644093217,0.360758890248139,0.3750631525890038,0.13959372811684606,0.025397855279687565,0.06620832644383147,0.8737723244635797,1.6186700793573707,0.4085863249969032,0.390555726234147,0.18337387500368635,0.027793759044555298,0.0876866432439081,0.9316682414789437
Gypsum,771,0.031766297834396176,0.2804755379410252,0.007005561875811695,0.023107250924959605,0.15948150379289466,0.0012506075612986134,0.03835691720416959,0.042483375849534,0.3192314438291201,0.009303840675936658,0.020364577861334884,0.18969610340354892,0.0018432619433372938,0.04036955990711219
GypsumSheathingBoard,19,0.14154804579924035,0.5882408019980554,0.0006011147767337303,0.13862728028525845,0.4994497375455187,0.0001555453262037823,0.15366405382173745,0.07554228023362257,0.6758296564245355,0.0024477509345293964,0.06505871611247036,0.5738176328132849,0.0009791573156964013,0.07068272011491204
HeavyTimber,5,0.5197976002511773,0.7682664434983574,0.21937245795408103,0.4687750409265702,0.652301697309926,0.20527746215134024,0.4917437421507509,0.5114549341073915,0.8155884572144186,0.2290434635975972,0.45724300014477237,0.692480765559412,0.21391690876016128,0.4778745033745449
Hollow,145,0.052045428382630786,0.3917709816677704,0.0004962303654948668,0.050239246415719065,0.33263573915188055,0.0001576111331725533,0.061506726145681465,0.052021319132712726,0.4601603832399267,0.002320105492859696,0.04239929452702773,0.3818887948462409,0.0009214677928281722,0.06571364627998162
HotRolled,81,0.18569027635478597,0.44015826533081615,0.11541358916992135,0.08679804901368707,0.1214784898163852,0.009570338719650821,0.1753063497338901,0.19396235915088544,0.4960848937071731,0.10939893790437447,0.057962604300675576,0.20184505226643212,0.021276447336424687,0.18042589793092878
InsulatedRoofPanels,271,0.03548802700540128,0.345710051720228,1.7898607438787344e-05,0.03180019974772018,0.27195548479467174,1.0828646502716506e-06,0.03220530403184958,0.022998961606566302,0.3999780007058355,4.2441279371745575e-05,0.016797296025381832,0.31777855238307845,4.3732492009674705e-06,0.02573356602782632
InsulatedWallPanels,420,0.03259144092452313,0.3167057929096014,5.1667653514813694e-05,0.02758503199957514,0.24767532413681626,1.0376259651761589e-05,0.02387395440319208,0.018770249243559144,0.3658146040220277,7.49367053384895e-06,0.015062843785454706,0.3105973053017217,2.710287424130809e-06,0.014143247168316138
InsulatingGlazingUnits,32,0.3165184675901519,0.53,0.12613235425939545,0.12603617771254633,0.18341438605518848,0.0049463742146633755,0.22730818238406747,0.2688966341496576,0.5815106886904694,0.12130573329214661,0.08189384161280822,0.17923385039724016,0.002237638728243625,0.23859866762121404
JointProtection,5,0.16221837339609935,0.7682664434983574,0.0384514531706882,0.15377929681282265,0.652301697309926,0.026979230356251976,0.1932565142188136,0.17115795632579464,0.7989250795714138,0.050087787487707994,0.15194755768723567,0.6783326147304457,0.03702632211003942,0.18505355555732875
Laminate,26,0.11210514471286527,0.5524731746269678,0.09469412108976674,0.09615818031060276,0.4466537955279116,0.07237221151131895,0.19554750943189658,0.15941895711994578,0.5966752972726793,0.09414189701859667,0.13177739730044347,0.5066111014579353,0.07651195949157709,0.1867454436277563
MBQ,40,0.2707612399366178,0.5068668248887195,0.023126362492855112,0.18627024145318655,0.21224171520220758,8.595396762030842e-05,0.21310077231762983,0.171162502077699,0.5692864588340274,0.036873796286185014,0.03364085296721639,0.14038667736294136,3.771627073370415e-08,0.14410347774108792
MasonryCement,26,0.13367411540625504,0.5524731746269679,0.003365709028996248,0.1109799528069977,0.36839018088531006,0.0007247301790374996,0.11957558643410482,0.05663860313480173,0.6043166735151435,9.387621193678565e-05,0.023287252504285177,0.2434104846273553,1.1213761987905622e-08,0.06389656552322329
MassTimber,66,0.33960503050735047,0.45856096025362697,0.1312638644365103,0.17387927225290162,0.17234811536171735,0.020021557864715066,0.22534633567791545,0.19313239053990694,0.5114055446487183,0.11801530057186525,0.05044381014536069,0.198226516636694,0.01530134038842708,0.2058105708765144
MechanicalInsulation,22,0.3601302514379101,0.5712435758877449,0.13298042227967113,0.4641745719845777,0.3013256690833182,0.06679528001823394,0.5775798131984072,0.30793780183791475,0.6698000517934356,0.12180589917070254,0.19023765878843107,0.3742860137116598,0.07033153029227335,0.2266939034529027
MetalDoorAndFrames,42,0.13361064641011222,0.5019448551954263,0.04037698479577122,0.11243890002901495,0.27645674535857523,0.009148918622233153,0.11583582321675692,0.14545825113131594,0.5806047085140443,0.039670810817246625,0.1255143654652407,0.49296626194588666,0.026155574975831774,0.11245036657768404
MetalRailings,13,0.20980133157416542,0.6346250268739874,0.04051371982437993,0.1166150985328365,0.2613316500660992,0.006868252499731884,0.1740465573592646,0.17042317397740708,0.7034582509655681,0.029372782842637356,0.0697583337138818,0.2995604957252536,0.0032059355573096334,0.14687916102245857
MetalStairs,5,0.13916066004777533,0.7682664434983574,8.981565629566349e-06,0.11041485639444856,0.49004022084053767,8.176236286090896e-11,0.11691187525034993,0.10901018074652727,0.8225988309365739,1.818047004196271e-07,0.03474538533009758,0.27562654102156986,3.907328986920036e-38,0.08795776493967382
Mirrors,19,0.14659962378133182,0.5882408019980554,0.01803738631094189,0.13856065909941967,0.49944973754551875,0.013347546257503702,0.12384022988804644,0.09839574785023122,0.6943479426458996,0.031173811598463483,0.05450064019718139,0.30899048600415413,0.006265783715389408,0.08845743782659278
MiscMetalFabrication,69,0.14666408768771394,0.4545022600382875,0.028899969986175826,0.1264489514266609,0.31474566422093436,0.010223011823294067,0.16570942975413033,0.1184146413424235,0.5107854227203564,0.035530915101754275,0.08279291411922507,0.33402408694999647,0.012728471204473226,0.15514913045371798
Mortar,248,0.2274919886084814,0.3518969714017212,0.15613949196049542,0.12364475656761267,0.11204051401813671,0.03680667593455407,0.335330810253567,0.38295461480992815,0.411121605292224,0.19163345869056989,0.07722032133719388,0.11655098114206708,0.050899757033094815,0.3681962388429534
NetworkingCableTrays,22,0.15705709020076958,0.5712435758877449,0.032163117029414615,0.15090177047304915,0.48501813047072667,0.021937357718677712,0.1343344686536336,0.13991061965767362,0.6627301169749871,0.048144410272973996,0.0810960239795532,0.32470465712437846,0.007632921302444862,0.13968149745136543
NetworkingRaceways,32,0.4534591943483687,0.53,0.2349444448515165,0.25127678173242046,0.25522311588962526,0.16259983053884647,0.303532459145473,0.531138444402274,0.59170576170964,0.24896210707979327,0.3573979747193679,0.3564776024799031,0.201567591844435,0.31263008967157246
NonStructuralWood,57,0.21461332255812648,0.47220534008700976,0.06101469109709194,0.18267413818874997,0.35265269389097453,0.03881253999369836,0.13862407436153137,0.06608706189881056,0.5517665311383938,0.033963795500038314,0.057323851207363545,0.4663065486820101,0.02441448980195061,0.0638123239152574
OilPatch,282,0.12506207114082535,0.34296992905136786,0.08054068988134855,0.12047033736630137,0.12360044286685362,0.011629223760196957,0.21454219956665999,0.21486000791924376,0.3876664595073918,0.11152572210179691,0.04631349375353633,0.11894070465054637,0.011965150949719373,0.22478246879111613
OpenWebMembranes,17,0.19719426475603802,0.6014729228118749,0.00010154517911830655,0.17010418176520392,0.41131217859861885,9.439929721416299e-08,0.13515532263878344,0.0553460035577288,0.6655467060689008,3.828822422326946e-09,0.048098510574859143,0.5650868259075572,7.270688426662646e-12,0.056913906052309525
Openings,12,0.2910891741402319,0.6448662024067982,0.14572534693109693,0.27074905022611184,0.5475279077038853,0.14048376913710697,0.23060476752616144,0.28916590780398116,0.7005978451462433,0.16705167959589742,0.2638116164380204,0.5948472270109614,0.1606089396282902,0.22365136304385724
OtherFlooring,217,0.2996335618166658,0.3614214454761594,0.13519053283834923,0.2394548509284524,0.24778826754340463,0.10381136087680949,0.14789721136451695,0.15732072726643187,0.4140249848263035,0.11851336501377703,0.13448567365444275,0.3515306474940313,0.10522443496061923,0.11021329918591526
PaintingAndCoating,19,0.5920940652324238,0.5882408019980554,0.24214570474330752,0.40144901510233977,0.3076422880829945,0.17420018241778154,0.2532451715449641,0.28190782782990254,0.6807727837192279,0.16972835898150782,0.0985422626483351,0.22562486926817157,0.06082358995908123,0.1570934386527884
PlateSteel,72,0.22431290531764062,0.4506499902211129,0.04712431764277685,0.17337035484828267,0.22553886831513087,0.008846821226664645,0.1922713566412032,0.06581684477911824,0.5118777476599308,0.01282673910968684,0.054228748913235994,0.42020253153364157,0.006957524915827917,0.090032591550305
PostTensioningSteel,35,0.030116898733357433,0.5205857265138608,1.0336524089985219e-40,0.02687532904477473,0.43832671643435434,5.868345400581259e-56,0.019815346580506262,0.020758887164977195,0.5656220495803227,5.827619789120208e-40,0.017739987003957305,0.48024513643612315,6.645460546503753e-54,0.01400818481728265
PowerCabling,400,4.142982621511965,0.3198113458368937,0.4805053403498271,1.2786186436676514,0.0025423656625447573,0.1973669888159194,1.6411434275489845,4.3570873215527,0.36531914206015914,0.4811482552369595,1.2926989380847622,0.002608127794423442,0.204978274636324,1.5815804166734793
PrecastConcrete,499,0.04102985459252931,0.30597486802915774,7.66917676820812e-05,0.029719260219248075,0.1556018391734482,1.0835788240687369e-08,0.07341275131329915,0.03418131909984273,0.34997564464051073,0.00013287930423228875,0.01625670772907324,0.19711782696494257,1.9226301387208291e-07,0.07022701871687015
ProcessedNonInsulatingGlassPanes,130,0.2730719236958599,0.40042132169708256,0.21982810957568782,0.15888756076133462,0.19198918380761817,0.14911840336301646,0.28836604997162896,0.4919724343377241,0.45829882577686043,0.22420188782517725,0.30329057871915804,0.24438129502246436,0.1695076637324679,0.23899548315763836
ReadyMix [3000-3999 psi],20814,0.0029722139052135556,0.14508908946719656,3.144065707863515e-24,0.0025675398637011147,0.1180590836976757,2.0607769678478402e-33,0.003891128287518297,0.0035374023689257977,0.16675039996063032,3.201053350846809e-20,0.002744425647463013,0.13525935845383716,2.7812723506306762e-27,0.0039037260542576957
ReadyMix [4000-4999 psi],31025,0.0022114173236966873,0.13395641221954238,4.197281143929298e-26,0.0020707485081959123,0.11373657641281901,8.925575815695043e-34,0.003410800873290537,0.0028590917888278956,0.15366211386832887,3.0640900676978072e-21,0.0023377905366560856,0.13011189627405603,3.976185599257119e-27,0.003462519821082707
ReadyMix [5000-5999 psi],14366,0.003889368089883496,0.15625671607599848,2.6715114688281285e-21,0.0035495442965722177,0.1326707966683006,2.5127892392538048e-27,0.008345759369360122,0.003716062112603385,0.17922282163448902,2.1654177904574114e-17,0.002961112162262018,0.15217032025569824,6.1313361767199055e-22,0.008195547529182877
ReadyMix [<3000 psi],3974,0.01095171727741152,0.20205066898042962,4.042822171070004e-08,0.009427338787905332,0.16158839620087112,2.2336337006030065e-10,0.026474200655432358,0.007933331962871043,0.23353084129621787,5.550493859412971e-07,0.005634847864555317,0.18489638769167485,8.401957621633884e-09,0.022928777294019202
ReadyMix [>=6000 psi],7887,0.00667144484744806,0.17616656938470007,1.3852148947181446e-14,0.006034507346243276,0.14957538910021703,3.821208163128855e-18,0.008987180292485672,0.0048726079358259265,0.202364515881623,1.0912037443603579e-12,0.0039052382833428844,0.17181892857873654,1.5812190595804089e-15,0.009136679650261695
