arm,dataset,n,"KDE-scott, Uniform","KDE-silverman, Uniform","Logn3p, Uniform","Logn2p, Uniform","Gamma, Uniform","Normal, Uniform","KDE-scott, Variable","KDE-silverman, Variable","Logn3p, Variable","Logn2p, Variable","Gamma, Variable","Normal, Variable"
synthetic,dataset5219,132,0.009533035341780302,0.00973993532538563,0.011491367551793766,0.011819581260822838,0.011601213257455707,0.01149163184199841,0.010455694623010261,0.008805040962279461,0.00974788975341179,0.0112589093912621,0.010596357333611346,0.009739420430801365
synthetic,dataset5222,125,0.21626393480966544,0.22217950222580962,0.23840970031451572,0.41271332722588827,0.29467451769785596,0.1952758607832709,0.05915333970439582,0.05067783290846023,0.055239118400549736,0.12551051005482738,0.07696376987631859,0.05282000462603406
synthetic,dataset5229,172,0.04073093945578618,0.04506365230124268,0.07979674016847248,0.12245351995987548,0.0814650142970797,0.17449251785789244,0.0780627834346586,0.044525693577958804,0.07363291564870143,0.17788479716463187,0.08738064404537833,0.22861668966339727
synthetic,dataset5233,254,0.04210859316664831,0.03975208342077344,0.0389895750870634,0.14898122211469306,0.047208010813245924,0.15388670898365295,0.05980398782884615,0.03859534036562202,0.04046659877005301,0.14228277360877076,0.0485473451006013,0.1610926533195935
synthetic,dataset5236,152,0.2153377991480414,0.20638850089634603,0.189143806481478,0.2632827251484433,0.1827092821146498,0.2535200698532497,0.04252969503120603,0.030364213797882737,0.0409339396871954,0.1870730123011532,0.08109429265931416,0.055815221914121776
synthetic,dataset5275,570,0.07280255257742287,0.08370685458305338,0.10028062565528503,0.13707659451169898,0.09651868680683245,0.1567068360011123,0.0549891252252746,0.03189317675943909,0.04578915622294595,0.0549033875314913,0.06910828103477401,0.19518883990973404
synthetic,dataset5276,377,0.11345457437821799,0.06993366971474191,0.07691868623231232,0.15226836545389444,0.11024109180630054,0.35982298382767125,0.08239737466725267,0.029112214620424244,0.0669078889482488,0.12100388765696297,0.09886125138422641,0.3102105006024368
synthetic,dataset528,7,0.20874579780665625,0.1938423989567594,0.1695378443936445,0.3425053721533767,0.25412443813996977,0.16940235835978157,0.14774032319192726,0.0707186062255907,0.12857258695121498,0.2863103421808129,0.20461377947838708,0.12844149857197623
synthetic,dataset5287,358,0.03504579440772031,0.028475613940545316,0.047034676851755323,0.20057975461043048,0.08819412747571698,0.08072559270330597,0.03001604680646989,0.020815359754134143,0.042864613455781825,0.1508164090126164,0.06866978357407201,0.08332508502878065
synthetic,dataset5302,532,0.08858657679428669,0.08840671846780224,0.08795546259493972,0.08801704115452531,0.08708553054128143,0.08705087384871059,0.020332313365804065,0.011093576928048915,0.02503824591259315,0.02650992027737884,0.03135902991861176,0.04638225816427792
synthetic,dataset5314,221,0.0478832767377452,0.045348390864427934,0.03916485969923541,0.12900619285304657,0.04466476209513434,0.16374112070743962,0.05971678705077987,0.036897169083553255,0.03267083427392286,0.09053426989754412,0.045838318054751824,0.1682586590894004
synthetic,dataset532,4,0.13902917746761798,0.12889810512299632,0.18000274885323259,0.11274345202642426,0.10694661843203013,0.10118886336130412,0.0961001357931932,0.08636041799620651,0.08263877535460298,0.09233474585952556,0.08757567065893787,0.08261437393921986
synthetic,dataset5323,109,0.1465274755365692,0.16670868349171247,0.19283966599223643,0.2054969202884565,0.17153713857074881,0.13664483124868687,0.1379080420380231,0.11292270929597518,0.1330573136203951,0.20552887224522087,0.1256723573810528,0.20473094666926944
synthetic,dataset5327,834,0.10215910347804019,0.1022968818827394,0.120205100974722,0.259892317362772,0.1259663399567974,0.18575914096967902,0.06123971725082161,0.048375749843813584,0.0709200253990395,0.4432981075863227,0.1512010767591796,0.12277241578859677
synthetic,dataset5335,596,0.03335117165072993,0.03789808429729952,0.08347153650360215,0.08369485382443577,0.10037014263303884,0.2003106384864053,0.04689150987152307,0.017583588247242377,0.08477595339673755,0.09148190858940744,0.10257261296784936,0.19585276263265078
synthetic,dataset5342,739,0.0117901174253357,0.008354998247839657,0.022044794299804948,0.03035756129410026,0.025364282933655963,0.02201749031782295,0.011105856986437769,0.006410340572463983,0.018315166959159964,0.02739607240812592,0.022291206102505054,0.017916775925125476
synthetic,dataset5351,566,0.035634589225767,0.039488287639849434,0.041480082032426584,0.041383380769723165,0.041339889066594374,0.04145915750610448,0.020078181449885563,0.012604759408156304,0.028732072626504773,0.027994879590241915,0.028668847504632562,0.03567553574149025
synthetic,dataset5353,447,0.040797195194053504,0.060263985446412593,0.06669330645006286,0.11197194799375079,0.06162495465838337,0.2180085466925209,0.07558746514811354,0.04092477457116986,0.04059089154618056,0.1086233162159983,0.05559357088004548,0.24137360626444895
synthetic,dataset5356,394,0.04345411183176314,0.048739786587938316,0.05936178685995637,0.07015312125705887,0.06042090940813873,0.10221570394863794,0.05721305410545649,0.027840935574958505,0.07638474550852106,0.0958832865494978,0.09031323608024472,0.1606209478266119
synthetic,dataset5367,608,0.03229141748318815,0.032814606879136884,0.04832498416332542,0.13050451683037695,0.05974925994553399,0.12346492633448002,0.03693775582086165,0.02001599034242465,0.039667751865725034,0.10692491775415437,0.05008219015855363,0.1479134417154963
synthetic,dataset5368,673,0.028830834373602336,0.025669637593566073,0.04269973109648903,0.2208098988468674,0.10538145183318692,0.050241512852519536,0.026049733934835558,0.02070120333781311,0.03851913246395623,0.25657921695357605,0.11571168768550948,0.04597362090039025
synthetic,dataset5372,107,0.19703345330556288,0.14927963710902153,0.1589690706616174,0.16423908088462835,0.19032045742917614,0.3471213402162162,0.16157741147688856,0.05661716740602237,0.15944739516972328,0.14018607797326327,0.18382189246566788,0.3107342047509886
synthetic,dataset5374,446,0.06493425210690781,0.049067740175413994,0.07964724332016682,0.12242141676127737,0.10060240264078024,0.23422144076919166,0.0744760995213534,0.026467427960901704,0.08356919500194022,0.15384567895164153,0.11753230638570131,0.3044780523920323
synthetic,dataset5387,155,0.17022930966163846,0.15532576836988615,0.13993252012045973,0.20711689460129723,0.13491149783294407,0.20984135944833235,0.06635714897869985,0.051744293290809484,0.04449617975051352,0.24056987977317143,0.0660083561736906,0.11313313837258682
synthetic,dataset5399,109,0.10357790397056013,0.07610733200387304,0.06830920209276685,0.13514656701788144,0.08694768245054606,0.19028995444006902,0.0703603206777183,0.03955230636115099,0.05622472375961278,0.06561662084050555,0.06741128891587851,0.14558764940699098
synthetic,dataset5400,480,0.11583605475996563,0.1169839176807917,0.14027512547240475,0.26288775139349657,0.1589383276432869,0.1043849228887547,0.04246080390698081,0.027166924957166667,0.07773493620522827,0.2271920440092881,0.11824613017613972,0.09871211242114068
synthetic,dataset541,5,0.487172364161667,0.4995507919101244,0.6004129886993679,0.5842927536224022,0.5428776410451761,0.4689707648410756,0.25610322867499347,0.23263865398966654,0.21873690199551826,0.2865174557180967,0.2515027502431691,0.2186434618732361
synthetic,dataset5417,911,0.08695483725588508,0.10486183766705741,0.10306977008383177,0.09932601015472085,0.09298325131872025,0.17957960570867737,0.05624346330866681,0.035013293660406654,0.032976823650976,0.15125641880368854,0.04247773148539375,0.2253099524276304
synthetic,dataset5424,855,0.0452097224649049,0.03931133066479847,0.06381794359938678,0.16823456094519806,0.06781066652229632,0.13361268132698995,0.037366155642099136,0.02888419110690854,0.062873174332839,0.17423017965844537,0.06818496325416759,0.1215679398945866
synthetic,dataset5425,442,0.008996012826451235,0.008054691658408242,0.021748210844927774,0.03086995658986588,0.02742344588319046,0.021690292088601744,0.007615814999294261,0.005684367121742348,0.019022437687147384,0.02845667649827092,0.025008118979862184,0.018959296985734363
synthetic,dataset5426,892,0.03265173924480992,0.030891579944528635,0.030200415519299886,0.045732036526983474,0.04155780272326063,0.15410059462950157,0.035529332342927836,0.021350561461589153,0.023822689452863137,0.04768458102344426,0.041866711536179685,0.15915997727916628
synthetic,dataset5429,399,0.10239474707477303,0.07084470932541612,0.09272424573097861,0.16741634246801004,0.1227342388750527,0.2957784336597835,0.060211790029166185,0.02928538191128336,0.08058970189508549,0.14043832106453613,0.10141689740593643,0.21235585657615147
synthetic,dataset5448,344,0.013382983262364473,0.014646566186313317,0.016640080340724964,0.016147143620490113,0.016648186805976094,0.017735100236233543,0.011811163635376582,0.007273922196676868,0.014801389174837028,0.014795926418860569,0.015167972890889593,0.01679102501152635
synthetic,dataset5462,127,0.06482440906710323,0.07165886952693452,0.06179304983338385,0.06142869126388745,0.05460210431129167,0.09907638924135356,0.0525922849992106,0.03762862400026158,0.04422172814543083,0.11883667978415496,0.05205920805511612,0.10180074696194111
