dataset,n,n_near_zero,min_over_mean,has_near_zero,w1_2p,w1_offset,w1_2p_drop_near_zero,w1_offset_drop_near_zero,offset_gain,offset_gain_pct,offset_gain_dropped
FlatGlassPanes,47,0,0.012287352598262306,False,0.16370405843596253,0.1382106703483062,0.16370405843596253,0.1382106703483062,0.025493388087656332,15.572850380877265,0.025493388087656332
FlowableFill,2008,0,0.10647905282004942,False,0.09738475961810109,0.15383941881211183,0.09738475961810109,0.15383941881211183,-0.05645465919401074,-57.970733218832535,-0.05645465919401074
FoamedInPlace [PIR or PUR],8,0,0.2864629019461891,False,0.7156735837409441,0.648329894942269,0.7156735837409441,0.648329894942269,0.06734368879867514,9.409832964164828,0.06734368879867514
FoamedInPlace [type not stated],5,0,0.7708202878743934,False,0.046334719978385897,0.044666381350623924,0.046334719978385897,0.044666381350623924,0.0016683386277619727,3.600623093309326,0.0016683386277619727
Furnishings,7,0,0.6080636788371693,False,0.1342012028357754,0.12886863784092503,0.1342012028357754,0.12886863784092503,0.005332564994850381,3.9735597611415914,0.005332564994850381
GlazedDoors,141,0,0.019958937283425602,False,0.17767751276064692,0.1363125024651832,0.17767751276064692,0.1363125024651832,0.04136501029546372,23.280948530153832,0.04136501029546372
Grouting,219,0,0.04579887924995823,False,0.5045483020158821,0.7787215441369406,0.5045483020158821,0.7787215441369406,-0.27417324212105854,-54.34033590552608,-0.27417324212105854
Gypsum,771,0,0.09124194305918029,False,0.04151632478994799,0.06431022639051222,0.04151632478994799,0.06431022639051222,-0.02279390160056423,-54.90346680706942,-0.02279390160056423
GypsumSheathingBoard,19,0,0.4640522887444391,False,0.09362796035281507,0.08035322697856502,0.09362796035281507,0.08035322697856502,0.013274733374250045,14.17817212318555,0.013274733374250045
HeavyTimber,5,0,0.21130666863534292,False,0.4802999336309663,0.4531713073991161,0.4802999336309663,0.4531713073991161,0.027128626231850195,5.648267745273978,0.027128626231850195
Hollow,145,0,0.28047549071430794,False,0.0770704989924212,0.06339675127218768,0.0770704989924212,0.06339675127218768,0.013673747720233526,17.741869974889024,0.013673747720233526
HotRolled,81,0,0.06760850314544342,False,0.14766295444573777,0.2163033182266303,0.14766295444573777,0.2163033182266303,-0.06864036378089253,-46.484484912643445,-0.06864036378089253
InsulatedRoofPanels,271,0,0.2934554739549958,False,0.027348900619660596,0.02382044352452368,0.027348900619660596,0.02382044352452368,0.0035284570951369144,12.901641437829406,0.0035284570951369144
InsulatedWallPanels,420,0,0.21263498418109908,False,0.014978953898267982,0.016489416141054897,0.014978953898267982,0.016489416141054897,-0.0015104622427869144,-10.08389673301264,-0.0015104622427869144
InsulatingGlazingUnits,32,0,0.28173245431027294,False,0.24523761686500886,0.27577343954222444,0.24523761686500886,0.27577343954222444,-0.03053582267721558,-12.451524797692041,-0.03053582267721558
JointProtection,5,0,0.34641510535339176,False,0.2729033206407932,0.2256576063609126,0.2729033206407932,0.2256576063609126,0.04724571427988061,17.31225335365831,0.04724571427988061
Laminate,26,0,0.04501869947272703,False,0.21436020641329326,0.1569973084786064,0.21436020641329326,0.1569973084786064,0.05736289793468685,26.760049775325072,0.05736289793468685
