arm,dataset,family,status,sigma,model_mean,model_sd,w1
empirical,ConcreteAdmixtures,lognormal_3p,interior,0.9369409881309919,0.685617524321893,1.1895899938528651,0.14130620615638323
empirical,ConcretePaving [3000-3999 psi],lognormal_offset,,0.14954838212572671,1.0105980470249338,0.22763465023254636,0.03245938421206764
empirical,ConcretePaving [3000-3999 psi],lognormal_3p,boundary_normal_limit,0.0009979853606214032,1.010350631163131,0.22211086646847092,0.03192361493182582
empirical,ConcretePaving [4000-4999 psi],lognormal_offset,,0.14835537198865514,1.0079370681042576,0.2253980322071776,0.02543693302809665
empirical,ConcretePaving [4000-4999 psi],lognormal_3p,interior,0.19940990187635046,1.0080819258598697,0.2281432610456447,0.024546353157367105
empirical,ConcretePaving [5000-5999 psi],lognormal_offset,,0.15850825267236143,0.919623832115768,0.2269216162897091,0.04606354392853946
empirical,ConcretePaving [5000-5999 psi],lognormal_3p,interior,0.5637782553651867,0.924820852840944,0.2825673234667352,0.05166269554737512
empirical,ConcretePaving [<3000 psi],lognormal_offset,,0.1660087824249622,1.0366977767550751,0.25743877742588966,0.05593149912904354
empirical,ConcretePaving [<3000 psi],lognormal_3p,boundary_normal_limit,0.0009983809581789655,1.0358952968934385,0.24201932087211786,0.04583886555291042
empirical,ConcretePaving [strength not stated],lognormal_offset,,0.19111437202990528,0.8494543861164621,0.2609204687196983,0.054552863452088506
empirical,ConcretePaving [strength not stated],lognormal_3p,interior,0.5604762705059686,0.8535622733094578,0.31226146962963386,0.05555711657988987
empirical,Countertops,lognormal_offset,,0.6178198806938321,0.901863548914146,0.913721957056286,0.2069910160080867
empirical,Countertops,lognormal_3p,boundary_guard,1.4466872900519254,1.0988660984196574,14.703971450617987,0.24104882500509164
empirical,CurtainWalls,lognormal_offset,,0.39299410218554437,1.0457457665872292,0.6337846575047792,0.12984755347063087
empirical,CurtainWalls,lognormal_3p,interior,0.5987527167152633,1.0490452609978922,0.7358835502433763,0.11033319447007868
empirical,DampproofingAndWaterproofing,lognormal_offset,,0.601993326467446,0.8719394653114962,0.8634255648980432,0.5529853003978626
empirical,DampproofingAndWaterproofing,lognormal_3p,boundary_guard,1.0280059484699753,0.7631498846614518,1.8168726883468647,0.3692396898615214
empirical,DataCabling,lognormal_offset,,0.7803250482744947,1.0203033643846304,1.38496876840202,0.5287562795195214
empirical,DataCabling,lognormal_3p,boundary_guard,1.6109097896328135,1.0745128272268512,26.65182685306423,0.2911213161772365
empirical,DeckingBoards,lognormal_offset,,0.29521930042280287,1.2194290301668296,0.521389938208184,0.14554057007509363
empirical,DeckingBoards,lognormal_3p,interior,0.45951015517415983,1.2233789348892243,0.5687248791432132,0.1462007102765093
empirical,DeckingSteel,lognormal_offset,,0.16694665348339488,1.0241775462549256,0.25680689454797584,0.0433761968911586
empirical,DeckingSteel,lognormal_3p,boundary_normal_limit,0.000997270946588323,1.0233016401200354,0.24238739048319274,0.039583451479572776
