realization,dataset,n,method,w1,rank
0,Cement,1084,"Normal, Uniform",0.062213190671332144,6.0
0,Cement,1084,"Normal, Variable",0.05933294445845286,5.0
0,Cement,1084,"Lognormal, Uniform",0.03588738136609092,3.0
0,Cement,1084,"Lognormal, Variable",0.03753915599892351,4.0
0,Cement,1084,"KDE, Uniform",0.012439572100718945,2.0
0,Cement,1084,"KDE, Variable",0.011588712085412137,1.0
0,CementBoard,21,"Normal, Uniform",0.1738077197798384,6.0
0,CementBoard,21,"Normal, Variable",0.1626702401515983,5.0
0,CementBoard,21,"Lognormal, Uniform",0.14797190992257764,3.0
0,CementBoard,21,"Lognormal, Variable",0.142551381343099,1.0
0,CementBoard,21,"KDE, Uniform",0.16169292020414966,4.0
0,CementBoard,21,"KDE, Variable",0.14686401384227243,2.0
0,CementGrout,3764,"Normal, Uniform",0.10061739090915897,6.0
0,CementGrout,3764,"Normal, Variable",0.09655223205057006,5.0
0,CementGrout,3764,"Lognormal, Uniform",0.03536472590374385,4.0
0,CementGrout,3764,"Lognormal, Variable",0.02917488625839072,3.0
0,CementGrout,3764,"KDE, Uniform",0.011021868361052432,2.0
0,CementGrout,3764,"KDE, Variable",0.006483837672563416,1.0
0,CementitiousSheathingBoard,51,"Normal, Uniform",0.300842934774892,6.0
0,CementitiousSheathingBoard,51,"Normal, Variable",0.291390632682361,5.0
0,CementitiousSheathingBoard,51,"Lognormal, Uniform",0.16294234243163191,2.0
0,CementitiousSheathingBoard,51,"Lognormal, Variable",0.149336118932958,1.0
0,CementitiousSheathingBoard,51,"KDE, Uniform",0.22425923155677052,4.0
0,CementitiousSheathingBoard,51,"KDE, Variable",0.18224703545927198,3.0
0,Chairs,86,"Normal, Uniform",1.992579824159828,5.0
0,Chairs,86,"Normal, Variable",2.153919152111692,6.0
0,Chairs,86,"Lognormal, Uniform",0.570736957960519,2.0
0,Chairs,86,"Lognormal, Variable",0.6103280063723502,3.0
0,Chairs,86,"KDE, Uniform",0.39390806926016775,1.0
0,Chairs,86,"KDE, Variable",0.6523648236264911,4.0
0,Coil,140,"Normal, Uniform",0.23099907829994681,6.0
0,Coil,140,"Normal, Variable",0.22560198721860114,5.0
0,Coil,140,"Lognormal, Uniform",0.12773223956413124,4.0
0,Coil,140,"Lognormal, Variable",0.10779185096262725,3.0
0,Coil,140,"KDE, Uniform",0.09645281386890078,2.0
0,Coil,140,"KDE, Variable",0.04376624967051321,1.0
0,CompositeLumber,16,"Normal, Uniform",0.12418059906215832,6.0
0,CompositeLumber,16,"Normal, Variable",0.10405754342252585,3.0
0,CompositeLumber,16,"Lognormal, Uniform",0.09808104418630523,2.0
0,CompositeLumber,16,"Lognormal, Variable",0.11547085566535624,5.0
0,CompositeLumber,16,"KDE, Uniform",0.09057220933964957,1.0
0,CompositeLumber,16,"KDE, Variable",0.10525724590941879,4.0
0,CompositionSiding,3,"Normal, Uniform",0.522630593907573,5.0
0,CompositionSiding,3,"Normal, Variable",0.33615062228030773,2.0
0,CompositionSiding,3,"Lognormal, Uniform",0.5225814738603654,4.0
0,CompositionSiding,3,"Lognormal, Variable",0.30099803851713325,1.0
0,CompositionSiding,3,"KDE, Uniform",0.6617607312539859,6.0
0,CompositionSiding,3,"KDE, Variable",0.3983545047748207,3.0
0,ConcreteAdmixtures,118,"Normal, Uniform",2.6502930498324586,6.0
0,ConcreteAdmixtures,118,"Normal, Variable",1.5622981996992513,5.0
