dataset,n,naive_gap_over_sd,naive_sigma,naive_w1,profile_status,profile_gap_over_sd,profile_sigma,profile_w1
Laminate,26,0.08107365951783314,0.784937242291255,0.21016573369365452,interior,0.08218394177456805,0.7838539861600251,0.2099521144957146
MBQ,40,0.03855828039508817,0.8286723764673535,0.11820501564071785,interior,0.03881257270691534,0.8280541853743651,0.11824666040152908
MasonryCement,26,5.457530532116061,0.11080294674158518,0.06390020809088058,interior,5.392989490128867,0.11162628832895904,0.06389388550253836
MassTimber,66,0.04366187474435856,0.910526401344786,0.17195822628356724,interior,0.04356099030694609,0.9107702349609559,0.17195318321893055
MechanicalInsulation,22,0.40339453528973696,0.6555298962169307,0.22666888863912857,interior,0.4018000857182092,0.6565292643959019,0.2269513418150463
MetalDoorAndFrames,42,0.31415333310575644,0.5637991641731073,0.11244995299506812,interior,0.3099046339199428,0.5658110474660091,0.11242736795712147
MetalRailings,13,0.4985207384402366,0.4491343934811557,0.14691999977231834,interior,0.49173296457790205,0.45107284979999424,0.14678786968770624
MetalStairs,5,0.4633563592948602,0.40385322488698416,0.08795121635605317,interior,0.4641588833612775,0.40368374600559775,0.0879528831995375
Mirrors,19,5.861081061116963,0.13164537594986833,0.08846412204315991,interior,5.880625988746757,0.13130032555067786,0.08845967294986322
MiscMetalFabrication,69,0.6044567001509179,0.4960011716003464,0.15508012881287203,interior,0.6017950643797331,0.4969399915809141,0.15511111769740682
Mortar,248,0.027268047661209136,1.0065603084350456,0.22520360026221461,interior,0.027453422338387136,1.0057871629624973,0.2253387748569719
NetworkingCableTrays,22,0.5929809890136756,0.5670830684195426,0.13988155203709515,interior,0.5846787276937586,0.5707400964835477,0.1401905191265168
NetworkingRaceways,32,0.00022582672316599848,2.1571030069669686,0.5544592130201907,boundary_guard,0.01,1.7866261676605397,0.45427424867307187
NonStructuralWood,57,1.1715427262200073,0.3370273057496092,0.06374674790619253,interior,1.1686088553466505,0.33741649717482913,0.06377252672904751
OilPatch,282,0.02516563922640676,0.8702667166816397,0.19439985521694864,interior,0.02517691457037277,0.870236596523715,0.19439897790140487
OpenWebMembranes,17,5.888258419993895e-16,13.07012204884929,0.4248824989076174,boundary_guard,0.010000000000000047,2.1058279003361835,0.13731656450847604
Openings,12,1.1897267214889893e-18,11.956667222994586,0.8874741724038678,boundary_guard,0.01,2.090036928168796,0.6879919876476973
OtherFlooring,217,0.1083982527296346,0.922073742665056,0.1706782660166227,interior,0.10967313315588177,0.919888865737019,0.1697451022169343
PaintingAndCoating,19,0.19786495654547698,0.6952386022045275,0.15768669747551103,interior,0.1953110510040632,0.6977982557720243,0.15779914182565338
PlateSteel,72,2.782206102037714,0.2119313586270538,0.09005082440955345,interior,2.7772119324293554,0.21217889791503844,0.09006940684234946
PostTensioningSteel,35,0.43034775026528416,0.5179743368189302,0.01400344185863841,interior,0.4256696454607871,0.5196597896966118,0.014022892093468388
PowerCabling,400,6.96608258031546e-10,3.0407090594551804,4.277064343179118,boundary_guard,0.01,0.8375246260214803,1.0891092267213502
PrecastConcrete,499,1.10952972511622,0.30139164248207934,0.07022715308298685,interior,1.1030787448822148,0.3021147274233434,0.07022826704383289
ProcessedNonInsulatingGlassPanes,130,0.004139521657395284,1.6691796921405344,0.3975580271578712,boundary_guard,0.01,1.5548752246908695,0.34135910010736964
ReadyMix [3000-3999 psi],20814,2.1972492065142797,0.2016100974095439,0.0039048350442608738,interior,2.2047451503814743,0.20128927654058115,0.0039041787460776583
ReadyMix [4000-4999 psi],31025,3.227831730001764,0.16306585885023697,0.003460356308364096,interior,3.2082312454210773,0.16360776983747005,0.003470742855697445
ReadyMix [5000-5999 psi],14366,5.290090271224961,0.12365397714317299,0.008202479861187472,interior,5.239601353002645,0.12444481996259663,0.008221515191266408
ReadyMix [<3000 psi],3974,10.75315224839124,0.0749080833185293,0.02293379214842177,interior,10.77907400499272,0.07476154650092001,0.02292135352608835
ReadyMix [>=6000 psi],7887,5.051453958226209,0.12603154118741852,0.00913897257798589,interior,5.09057590203668,0.12540128722932256,0.009136779485042917
ReadyMix [strength not stated],8777,0.49772497936722737,0.40185279445814553,0.014491444128475748,interior,0.4917329645779018,0.4030416984456802,0.014516991383145772
RebarSteel,204,0.059095456053196195,0.7538538492479628,0.12131605688072439,interior,0.0598332172879629,0.752926396369219,0.12144578782799863
ResilientFlooring,468,0.048988578486277974,0.7194149205358906,0.18907857089451893,interior,0.048890340015614445,0.7195525137332675,0.18905753005972573
RoofCoverBoards,20,165153.7970577994,6.054789278664645e-06,0.08269477465844874,boundary_normal_limit,1000.0,0.0009984079252923937,0.0827735265571856
RoofPanels,61,0.24410946962177538,0.7334243849952639,0.189799767039237,interior,0.24602398208697765,0.7318962383970316,0.189369886267416
SheathingPanels,71,0.04226184342023838,0.7546738055271575,0.2061181187638512,interior,0.042322022723792756,0.7546042537057402,0.20612193161790227
Shotcrete [3000-3999 psi],183,7.276048583947474,0.10985670796880793,0.018735775511772135,interior,7.196856730011516,0.11083360993633065,0.01877349209172959
Shotcrete [4000-4999 psi],651,11.336425248890697,0.07001963189921037,0.009058633996487656,interior,11.419421680558647,0.06961223933676183,0.00905686553583428
Shotcrete [5000-5999 psi],471,3.379126507127299,0.1711488218815898,0.019642667872142725,interior,3.398821218152668,0.17055773208677244,0.019639408603414482
Shotcrete [<3000 psi],4,19407.558734746424,5.152105969286979e-05,0.09220963203970226,boundary_normal_limit,1000.0,0.0009983815669536338,0.09221646573179659
Shotcrete [>=6000 psi],264,1.7921785224694537,0.244439155620576,0.018094817467114888,interior,1.8015200408020233,0.24384268542349904,0.018094698386160776
Shotcrete [strength not stated],96,0.5007632159529293,0.42716369068078425,0.04969161628452621,interior,0.5061283352022218,0.42589165787855415,0.04971311649028243
SinglePlyEPDM,29,0.3088895190291214,0.6368212921444293,0.13812868676434575,interior,0.3099046339199427,0.6362056235649909,0.13809182168536835
SinglePlyKEE,11,1.2000581136471016,0.40966166849865443,0.06685986558991258,interior,1.202819613622778,0.40914127543008766,0.0668347394231269
SinglePlyPVC,74,0.6603897816155123,0.36652222093292175,0.07651601974170802,interior,0.6562096406767561,0.36736356044839336,0.07650198717694595
SinglePlyPolyurethane,27,0.0011400155510175737,2.168402539237419,0.7894931298088111,boundary_guard,0.010000000000000002,1.8135619616742225,0.6492757217030549
SinglePlyTPO,62,5.189250725344246,0.13493543795021984,0.052055503006576714,interior,5.239601353002645,0.13400537555741768,0.052053960168328424
SprayedInsulation,11,0.003321421907089813,1.60754081922711,0.29334513885827807,boundary_guard,0.00999999999999999,1.5012945834302516,0.2758686039530991
SteelSuspensionAssembly,98,0.4581782349144481,0.45899441880935643,0.014043920492831414,interior,0.46415888336127786,0.4574233515840313,0.014031454309228497
StoneCladding,19,0.3671866778786691,0.718679984298768,0.28174515045871407,interior,0.36848179829116756,0.717722168945173,0.2814732797660568
StorageFurniture,15,3.6764653199672575,0.1833729771034085,0.07669621072957952,interior,3.7061441382662283,0.18232347299602594,0.076671961987367
SupplementaryCementitiousMaterials,28,1.3812845446309572,0.33019699097791666,0.09238266452842853,interior,1.389495494373137,0.3292044161654771,0.09233688513593058
Tables,161,3.899957470269054e-05,2.5919815746905552,0.7303049820239719,boundary_guard,0.01,1.9372302551740157,0.4858210805357818
TileGrout,43,0.06692187130122387,0.8843138582093127,0.17154089993617883,interior,0.06715334791115143,0.8836970028249238,0.17163347824309877
Timber,17,0.17941924650779925,0.9101986456806758,0.20786260168488185,interior,0.17911536074332307,0.9106690033882076,0.2079642254083623
TranslucentWallAndRoofAssemblies,46,0.05107131649625282,0.9503111643216217,0.18868157599570873,interior,0.05179474679231209,0.9482452886720447,0.1887910404085086
UnitSkylights,17,0.7213811199877691,0.5287392803407587,0.17883642165733293,interior,0.7155444070664577,0.5307866572834473,0.179154654643759
VinylSiding,11,0.025764426195027054,1.1379834758347982,0.12673038996545347,interior,0.025913963014396586,1.1372252300394732,0.12658871040710062
WallBase,14,1.4183702361627612e-16,15.530872890655246,0.37252062860863555,boundary_guard,0.00999999999999997,2.0954940735326884,0.24340797511067397
WallFinishes,173,0.001012074527714119,1.7907381712978712,0.3429928710982029,boundary_guard,0.01,1.491148227655422,0.2650391651739437
WallPanels,163,0.07390182017432785,0.829932909285564,0.09916576723097746,interior,0.07322538337604534,0.8310526615484796,0.09926098486061781
WeatherBarriers,59,0.0055024750153830305,1.2996786438347563,0.3181566171025425,boundary_guard,0.009999999999999993,1.2478974740766067,0.32064180130257325
WindTurbines,3,2.601054784871002e-16,16.479774612398803,0.49959899623689374,boundary_guard,0.00999999999999997,2.302944798511265,0.41100831454799513
Windows,358,0.26572521813989053,0.5980037226619261,0.13371846561293838,interior,0.2682695795279724,0.5962378776229111,0.1336733163251206
WireMeshSteel,53,0.2140606624659372,0.7000375976445227,0.13169654740536393,interior,0.21297116275234776,0.7009260794423292,0.1318760706073327
WoodDoors,32,0.5472015707829317,0.5279976163002754,0.12201930786397616,interior,0.5518926834697382,0.526148385421496,0.12194010214184198
WoodFlooring,86,0.5723262464786425,0.5421495364074006,0.1337800876887252,interior,0.5680492161728425,0.543806003808454,0.13393140356140693
WoodFraming,7,3.4712851211817077,0.20930920372351455,0.13681323931403028,interior,3.4983209357750344,0.20806477325354394,0.13675818615600693
WoodJoists,5,2.3370954593912943e-16,24.27728180700445,0.44855253213683227,boundary_guard,0.010000000000000031,2.4548959059679,0.3731071250401677
WorkSurfaces,12,46938.95499002631,2.130292926681644e-05,0.07826850360689283,boundary_normal_limit,1000.0,0.0009981166819708022,0.07834503336702708
