arm,dataset,n,weighting,family,method,w1,seconds,status,mass_below_zero,threshold
synthetic,dataset598,9,Variable,lognormal_3p,mle,0.07421407152349213,0.00167758297175169,boundary_normal_limit,8.649022727698939e-08,-176.47447265168702
synthetic,dataset598,9,Variable,lognormal_3p,w1,,0.0021725830156356096,,,
synthetic,dataset598,9,Variable,lognormal_offset,mle,0.07761425687010876,0.00024112500250339508,,1.4543821036065326e-16,-0.5
synthetic,dataset598,9,Variable,lognormal_offset,w1,0.07493132524572263,0.04433375003281981,,3.584209381825837e-22,-0.5
synthetic,dataset598,9,Variable,gamma,mle,0.07745194723406994,0.00022966694086790085,,0.0,0.0
synthetic,dataset598,9,Variable,gamma,w1,0.07481281229553874,0.04546504106838256,,0.0,0.0
synthetic,dataset598,9,Variable,kde,mle,0.08239946812998847,,,6.379259182699934e-07,
synthetic,dataset5989,304,Uniform,normal,mle,0.06551249252474474,0.00026762497145682573,,0.001652486077961596,1.0
synthetic,dataset5989,304,Uniform,normal,w1,0.05781167865213192,0.030556999961845577,,0.00033347916591340484,0.9891230209884769
synthetic,dataset5989,304,Uniform,lognormal_2p,mle,0.04142883956022154,0.00025783292949199677,,0.0,0.0
synthetic,dataset5989,304,Uniform,lognormal_2p,w1,0.04409555516327737,0.0318613339914009,,0.0,0.0
synthetic,dataset5989,304,Uniform,lognormal_3p,mle,0.04368706905994668,0.00202233309391886,interior,5.288805537778621e-08,-0.3897735972663382
synthetic,dataset5989,304,Uniform,lognormal_3p,w1,0.04307699012736096,0.11628345807548612,,0.0,0.16388379053542423
synthetic,dataset5989,304,Uniform,lognormal_offset,mle,0.044254330255342735,0.0002502909628674388,,3.224912285212439e-07,-0.5
synthetic,dataset5989,304,Uniform,lognormal_offset,w1,0.046807236352286716,0.028970459010452032,,2.6499212703081448e-08,-0.5
synthetic,dataset5989,304,Uniform,gamma,mle,0.045812790803765,0.000258082989603281,,0.0,0.0
synthetic,dataset5989,304,Uniform,gamma,w1,0.04809715816949367,0.03325424995273352,,0.0,0.0
