material,n_implausible,n_before,n_after,n_removed,n_removed_low,n_removed_high,min_over_mean_before,max_over_mean_before,min_over_mean_after,max_over_mean_after,status
DataCabling,0,951,951,0,0,0,0.00025461297966380676,19.54381430914574,0.00025461297966380676,19.54381430914574,ok
DeckingBoards,0,7,7,0,0,0,0.43005126709214037,2.167574929056309,0.43005126709214037,2.167574929056309,ok
DeckingSteel,0,63,62,1,0,1,0.3116764727568267,8.948972763533254,0.3575129335911291,1.6238520622270347,ok
DemountablePartitionTrack,0,5,4,1,1,0,0.000607848628382307,2.415066441753321,0.2205243742440821,1.9322880611321767,ok
DemountablePartitions,0,46,45,1,1,0,0.041478031579728875,2.645835711645574,0.09190501550327823,2.590653526801035,ok
DoorsAndFrames,0,61,61,0,0,0,0.054779801824531245,5.536607645089257,0.054779801824531245,5.536607645089257,ok
Electrical,0,5,3,2,1,1,0.5411408244399349,1.5269742447461565,0.9876550258703461,1.0144992823391252,ok
Elevators,2,20,20,0,0,0,8.512988492906121e-05,7.765868393885461,8.512988492906121e-05,7.765868393885461,ok
FenestrationAccessories,0,17,17,0,0,0,0.002160722559710275,6.118550937690908,0.002160722559710275,6.118550937690908,ok
FenestrationFraming,1,260,259,1,1,0,0.0013242589681831864,12.706723701340312,0.02938750359070584,12.657916157715889,ok
FiberCementSiding,0,31,29,2,2,0,0.00836362774689452,2.8745903959690673,0.4990136134935279,2.6905999856736083,ok
FireAndSmokeProtection,0,23,22,1,1,0,0.00027847011480091433,3.474613512403131,0.10567452519638515,3.3235835996337144,ok
FlashingAndSheetMetal,0,12,12,0,0,0,0.2160696999031946,4.739593417231365,0.2160696999031946,4.739593417231365,ok
FlatGlassPanes,0,47,47,0,0,0,0.012287352598262306,6.8947574821807525,0.012287352598262306,6.8947574821807525,ok
FlowableFill,0,2008,2008,0,0,0,0.10647905282004942,8.315506982137192,0.10647905282004942,8.315506982137192,ok
FoamedInPlace [PIR or PUR],0,8,8,0,0,0,0.2864629019461891,3.5228999148395768,0.2864629019461891,3.5228999148395768,ok
FoamedInPlace [type not stated],0,6,5,1,0,1,0.44237412540852433,3.130497650571634,0.7708202878743934,1.1884783969367856,ok
Furnishings,0,7,7,0,0,0,0.6080636788371693,1.3929745630731964,0.6080636788371693,1.3929745630731964,ok
GlazedDoors,0,141,141,0,0,0,0.019958937283425602,9.295836129047288,0.019958937283425602,9.295836129047288,ok
