arm,dataset,n,method,w1,w1_heldout,model_sd_ratio,w1_rank,w1_heldout_rank,w1_heldout_rank_within,w1_relative
synthetic,dataset993,3,"KDE, Variable",0.08526384467884415,,1.241477226089489,3.0,,,0.9338212544911275
synthetic,dataset9930,1189,"Normal, Uniform",0.10618315320525262,,0.9395895049233813,5.0,,,1.9381835772394096
synthetic,dataset9930,1189,"Normal, Variable",0.10847051579826475,,0.8993954256381541,6.0,,,1.9799352909448615
synthetic,dataset9930,1189,"Lognormal, Uniform",0.044197083033546344,,1.0881852124785798,4.0,,,0.8067387143035848
synthetic,dataset9930,1189,"Lognormal, Variable",0.01991663134022485,,1.011563510886002,2.0,,,0.3635424887311218
synthetic,dataset9930,1189,"KDE, Uniform",0.03211574206787994,,1.0742314415035212,3.0,,,0.5862154397176309
synthetic,dataset9930,1189,"KDE, Variable",0.017826149936757622,,1.0122475169366927,1.0,,,0.3253844890633916
synthetic,dataset9932,3157,"Normal, Uniform",0.018054277944709457,,0.9206455630005126,6.0,,,1.4650527171475316
synthetic,dataset9932,3157,"Normal, Variable",0.009578103222902404,,1.0013070805086932,3.0,,,0.777235522506437
synthetic,dataset9932,3157,"Lognormal, Uniform",0.01804072110825363,,0.9206479362197387,5.0,,,1.4639526188690872
synthetic,dataset9932,3157,"Lognormal, Variable",0.009342356299622837,,0.9991219649134245,2.0,,,0.7581053378727663
synthetic,dataset9932,3157,"KDE, Uniform",0.017045523022496928,,0.9308002871118957,4.0,,,1.3831951571692616
synthetic,dataset9932,3157,"KDE, Variable",0.0018787929919473264,,1.0183148476525699,1.0,,,0.15245864643491655
synthetic,dataset9933,1602,"Normal, Uniform",0.06960504567877973,,0.9858940688985139,6.0,,,1.6807513363840958
synthetic,dataset9933,1602,"Normal, Variable",0.06540373217379004,,0.9713261166621099,5.0,,,1.5793023218878273
synthetic,dataset9933,1602,"Lognormal, Uniform",0.04653104747491278,,0.9779021572444706,4.0,,,1.1235840658409944
synthetic,dataset9933,1602,"Lognormal, Variable",0.042237411154379116,,0.9531708633899538,3.0,,,1.0199057345747837
synthetic,dataset9933,1602,"KDE, Uniform",0.015860791276859108,,1.0305410286746548,2.0,,,0.3829901392165498
synthetic,dataset9933,1602,"KDE, Variable",0.008840295614891488,,1.016846795176628,1.0,,,0.21346640209574844
synthetic,dataset9934,7545,"Normal, Uniform",0.07551790431337105,,0.9472364658678887,4.0,,,1.232030925131199
synthetic,dataset9934,7545,"Normal, Variable",0.042881045885097405,,0.9717187185382214,2.0,,,0.6995794588417337
synthetic,dataset9934,7545,"Lognormal, Uniform",0.10859283892252111,,0.9951511064144285,6.0,,,1.7716293509041194
synthetic,dataset9934,7545,"Lognormal, Variable",0.04386676854594486,,0.978007299621506,3.0,,,0.715660953856839
synthetic,dataset9934,7545,"KDE, Uniform",0.09084256740247676,,0.9963113524412976,5.0,,,1.4820439387954554
synthetic,dataset9934,7545,"KDE, Variable",0.006071644783727766,,1.0133727463017113,1.0,,,0.09905537247065348
synthetic,dataset9935,1956,"Normal, Uniform",0.07837207938212892,,0.8275645467467161,5.0,,,1.37695111803896
synthetic,dataset9935,1956,"Normal, Variable",0.09196773896183068,,0.9602071342467459,6.0,,,1.6158188220266156
synthetic,dataset9935,1956,"Lognormal, Uniform",0.05262564219540225,,0.8030462881787612,3.0,,,0.9246014324203451
synthetic,dataset9935,1956,"Lognormal, Variable",0.0416127376394051,,0.9850929994308596,2.0,,,0.7311112078303044
synthetic,dataset9935,1956,"KDE, Uniform",0.0651360920784699,,0.8491491460549061,4.0,,,1.144402643380539
synthetic,dataset9935,1956,"KDE, Variable",0.011788374675759392,,1.0192423942365105,1.0,,,0.20711477630323563
synthetic,dataset9936,1925,"Normal, Uniform",0.641881860819864,,0.7984847424032439,6.0,,,2.210211787548996
synthetic,dataset9936,1925,"Normal, Variable",0.5454724278987546,,0.7516637372670752,5.0,,,1.878242186786357
synthetic,dataset9936,1925,"Lognormal, Uniform",0.23088049478362094,,0.6898534941856587,4.0,,,0.7949979929859885
synthetic,dataset9936,1925,"Lognormal, Variable",0.15094748898976904,,0.615442305251288,2.0,,,0.5197621865182099
synthetic,dataset9936,1925,"KDE, Uniform",0.1538444711396478,,1.0471515289840678,3.0,,,0.529737455312693
synthetic,dataset9936,1925,"KDE, Variable",0.01947195564007933,,1.0152647938668835,1.0,,,0.06704839084775496
synthetic,dataset9937,1874,"Normal, Uniform",0.029400228546028005,,0.8826971690458385,6.0,,,1.5659889098896231
synthetic,dataset9937,1874,"Normal, Variable",0.010247611567923889,,1.0013070799843593,2.0,,,0.5458340585040613
synthetic,dataset9937,1874,"Lognormal, Uniform",0.029381715254105142,,0.8827207798287778,5.0,,,1.5650028083771343
synthetic,dataset9937,1874,"Lognormal, Variable",0.011095585176867696,,1.0004135771456202,3.0,,,0.5910009613873548
synthetic,dataset9937,1874,"KDE, Uniform",0.02927860139878905,,0.8927946442540857,4.0,,,1.5595104988997384
synthetic,dataset9937,1874,"KDE, Variable",0.0032416096051688112,,1.023719366893805,1.0,,,0.17266276294208788
synthetic,dataset9938,5854,"Normal, Uniform",0.13262585173321184,,0.8984027454934405,5.0,,,1.853060579846178
synthetic,dataset9938,5854,"Normal, Variable",0.14260440291621945,,0.8812354706921145,6.0,,,1.9924818133354436
synthetic,dataset9938,5854,"Lognormal, Uniform",0.06273230148297433,,1.029961366704903,4.0,,,0.8765014772155121
synthetic,dataset9938,5854,"Lognormal, Variable",0.04464154500561241,,0.9701155078451319,3.0,,,0.6237357663853854
synthetic,dataset9938,5854,"KDE, Uniform",0.03548313637970697,,1.0414240493364084,2.0,,,0.4957736400201022
synthetic,dataset9938,5854,"KDE, Variable",0.011340229157609771,,1.0071902756442375,1.0,,,0.1584467231973794
synthetic,dataset9939,5082,"Normal, Uniform",0.01144533366012472,,0.8997143265409803,4.0,,,1.317372208410415
synthetic,dataset9939,5082,"Normal, Variable",0.006671547272941222,,1.0013070805086932,3.0,,,0.7679034290707856
synthetic,dataset9939,5082,"Lognormal, Uniform",0.013094755754863694,,0.8956533706189217,5.0,,,1.5072227529268718
synthetic,dataset9939,5082,"Lognormal, Variable",0.005630994310626604,,1.000090301005414,2.0,,,0.648134482647823
synthetic,dataset9939,5082,"KDE, Uniform",0.013230211329343707,,0.9046756234383879,6.0,,,1.522813858838964
synthetic,dataset9939,5082,"KDE, Variable",0.002055175496015013,,1.0211124991941125,1.0,,,0.2365532681051401
synthetic,dataset994,9,"Normal, Uniform",0.30404351611304503,,0.8915974843522669,5.0,,,1.2788657793076412
synthetic,dataset994,9,"Normal, Variable",0.13753484995654341,,0.8703095460328119,1.0,,,0.5784981548701669
synthetic,dataset994,9,"Lognormal, Uniform",0.30394484146572825,,0.8919880691613323,4.0,,,1.2784507346740575
