arm,dataset,n,estimate_maxima,crit_bw_1,n_modes_silverman
shipped_synthetic,dataset9237,420,1.3891143914038164,0.6215443891717228,2
shipped_synthetic,dataset11034,25,1.0,0.4486167415589901,1
shipped_synthetic,dataset9856,416,1.0,0.26313557067407506,1
shipped_synthetic,dataset12401,36,1.389552133135584,0.8061845699868481,2
shipped_synthetic,dataset7455,7,1.119728742022031,0.8501483828233116,2
shipped_synthetic,dataset12646,23,1.0,0.4505389737846562,1
shipped_synthetic,dataset9984,28,1.0362310936534997,0.7308374706151368,1
shipped_synthetic,dataset7462,424,1.1771509067101242,0.6748689554676779,2
shipped_synthetic,dataset4534,148,1.5396175388423319,0.8367964056040044,2
shipped_synthetic,dataset1532,270,1.3526137984365278,0.7013000705843869,3
shipped_synthetic,dataset12121,32,1.1326060453091273,0.6618357132131542,2
shipped_synthetic,dataset11512,53,1.1492503671838294,0.6498341304902103,2
shipped_synthetic,dataset100,482,1.072340470764928,0.4044062459676965,2
shipped_synthetic,dataset3032,148,1.101986911248719,0.5182806016449396,2
shipped_synthetic,dataset980,9,1.049789240744939,0.7560592517072643,2
shipped_synthetic,dataset6938,30,1.0,0.4065143075978213,1
shipped_synthetic,dataset2707,32,1.0168690185862204,0.5876681596851507,1
shipped_synthetic,dataset10051,14,1.044964378696244,0.7081480528926357,1
shipped_synthetic,dataset377,502,1.517834629123098,0.7733590216893474,4
shipped_synthetic,dataset5893,24,1.1399391345331054,0.7123563367126079,2
shipped_synthetic,dataset7994,6,1.0333647258881948,0.7986612330090732,1
shipped_synthetic,dataset10996,167,1.0,0.3100877942183972,1
shipped_synthetic,dataset5722,15,1.0,0.44678393933250077,1
shipped_synthetic,dataset7181,9,1.0169533817247152,0.7195144832242409,1
shipped_synthetic,dataset9311,222,1.1761756613635872,0.6106686973601386,2
shipped_synthetic,dataset10161,23,1.0,0.5588234214016845,1
shipped_synthetic,dataset12788,12,1.0433432100104318,0.7985336924263274,1
shipped_synthetic,dataset5070,26,1.0,0.47093687643323295,1
shipped_synthetic,dataset1714,200,1.0,0.2312616536685504,1
shipped_synthetic,dataset10420,9,1.0163250773254713,0.7237017584010567,1
shipped_synthetic,dataset11647,30,1.2891667803364861,0.7766984098800874,2
shipped_synthetic,dataset2931,16,1.296923613612529,0.8503175183602647,2
shipped_synthetic,dataset11294,56,1.3881110339792466,0.8098703600882003,2
shipped_synthetic,dataset4841,368,1.6306076636984381,0.6584033971533657,3
shipped_synthetic,dataset5676,18,1.0740118324760446,0.6713859837662289,3
shipped_synthetic,dataset5286,187,1.412946994222576,0.7723878730507252,2
shipped_synthetic,dataset3900,25,1.1650238579366592,0.7548401326188495,2
shipped_synthetic,dataset187,47,1.0119109809764701,0.5495607945325736,1
shipped_synthetic,dataset11366,16,1.115061619348786,0.7442165856831041,2
shipped_synthetic,dataset9987,364,1.4628156352971844,0.7785861438587309,2
shipped_synthetic,dataset11940,648,1.4252195095280258,0.6763995777625463,2
shipped_synthetic,dataset1251,224,1.1973923120317624,0.6209266902837337,2
shipped_synthetic,dataset6107,102,1.0220513758356344,0.5769592639408222,2
shipped_synthetic,dataset13076,22,1.0,0.458781019173263,1
shipped_synthetic,dataset8204,29,1.0,0.4962730409760255,1
shipped_synthetic,dataset6223,678,1.0002192432774466,0.29866284404032845,1
shipped_synthetic,dataset10097,166,1.4588012923890976,0.7767887738400631,2
shipped_synthetic,dataset2595,127,1.1610451697139794,0.6207945127097524,2
