material,k,min_mode_cv,median_mode_cv,avg_overlap,min_overlap
InsulatingGlazingUnits,4,0.003436328880023256,0.06656274593498296,0.02711753865178118,4.24219595492529e-303
Insulation,5,0.016696888974518133,0.18495306201600611,0.06415731254555844,0.0006461054452468967
Laminate,5,0.0010000000000000002,0.12123731233700859,0.002857278763059871,5.177097009946661e-305
MBQ,3,0.001,0.19990582586066097,0.012621086753604356,3.6938845867539214e-60
ManufacturingInputs,4,0.0010000000000000002,0.04902028859464247,0.00016843820990497223,1.9409550331231092e-59
Masonry,4,0.0009999999999999998,0.1643246969538009,0.012831758051076933,4.618931588418246e-304
MasonryCement,2,0.0010000000000000002,0.12820593196355481,0.00017322821096835971,0.00017322821096835971
MassTimber,3,0.16631190628030862,0.21752005677465486,0.05268849406898741,7.413445594176856e-05
MechanicalInsulation,4,0.0009999999999999998,0.1656647231085569,0.007473870883237778,8.07628028625734e-197
MembraneRoofing,4,0.044685633025638376,0.29272733848298427,0.032362709890631815,7.79439345597123e-11
MetalDoorAndFrames,2,0.23413649167100933,0.5332759360394296,0.2569547761251209,0.2569547761251209
MetalRailings,4,0.001,0.003915013056919677,8.164407832536392e-06,0.0
Mirrors,3,0.0010000000000000002,0.0427708550735359,0.006690563342570539,1.970521157472666e-28
MiscMetalFabrication,4,0.0009999999999999998,0.12919581162843125,0.04605995763388399,4.71779210457357e-304
Mortar,3,0.15634081474180017,0.4289909109559113,0.14414568286941795,0.046033297101855934
NetworkingCableTrays,4,0.006528350177960281,0.107377697201853,0.011375382892480355,1.8726302157761729e-295
NetworkingRaceways,3,0.019228286666402254,0.29796345578968536,0.06844407488544298,0.006987085637782661
NonStructuralWood,4,0.0009999999999999998,0.046776209422342056,0.0506241219995407,2.785353780604799e-304
OilPatch,3,0.10133334563029778,0.35526259627514933,0.13459959305543673,0.043433774004213735
OpenWebMembranes,5,0.001,0.005317773421831949,0.0030900237504626416,0.0
Openings,3,0.001,0.02926073583797383,6.163067889666965e-05,6.476755608089772e-14
OtherFlooring,4,0.07590405374884042,0.30738778416414153,0.10117792764149681,0.01473761865859206
PaintingAndCoating,5,0.0010000000000000002,0.06329964768930162,0.009181862883732978,0.0
PlateSteel,4,0.0080327030514425,0.15142878735488075,0.017589222076346656,1.8010519713057955e-15
PostTensioningSteel,5,0.0010000000000000005,0.0040938278868085905,0.0020889097942025496,0.0
PowerCabling,5,0.0012820473074864856,0.0500333885358292,0.046447166681366656,5.413755277403617e-05
PrecastConcrete,3,0.010500258807043238,0.240616446949552,0.10539072058748551,0.004202168797153789
ProcessedNonInsulatingGlassPanes,4,0.02277742841860271,0.37312327575068077,0.08538748733748647,0.004992413487779017
ReadyMix,3,0.20095509765833366,0.27360835278177154,0.5956216153715973,0.4416589524646841
RebarSteel,3,0.001,0.21920517871383646,0.04692625837126179,1.0440891648351583e-293
ResilientFlooring,5,0.033284508057987154,0.2300206573161777,0.12600201155046872,0.0003397483932246606
RoofCoverBoards,3,0.001,0.08003467052231868,0.012439698112631398,1.1790272005926989e-16
RoofPanels,2,0.14482504954844277,0.4594901353543723,0.15312595948023328,0.15312595948023328
SheathingPanels,2,0.18181631257689929,0.5141074671502356,0.07451743726939866,0.07451743726939866
Shotcrete,2,0.14791447890509926,0.18653924346139755,0.5763249661617673,0.5763249661617673
SinglePlyEPDM,5,0.0009999999999999998,0.01111761307213331,0.005416210477967937,1.0565497773337291e-304
SinglePlyKEE,1,0.2268355791874192,0.2268355791874192,,
SinglePlyPVC,3,0.001,0.07085105371194025,0.10525414128055044,6.1187504037383315e-304
SinglePlyPolyurethane,5,0.001,0.020212332077679116,0.005414309968791312,0.0
SinglePlyTPO,1,0.28949141356825214,0.28949141356825214,,
SprayedInsulation,2,0.0009999999999999998,0.14336156629731975,2.504770266804323e-31,2.504770266804323e-31
Steel,4,0.11940654931966542,0.6738248741125923,0.09178167354897855,7.406411380782362e-06
